Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Martin Marietta Materials,United States of America,USA,Cement,Yes,medium,US5732841060,2572079,01/09/2019,10/09/2018,2,up,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Not applicable,No,No,No,No,No,No
Marubeni,Japan,JPN,Aluminium,No,large,JP3877600001,6569464,01/02/2021,21/02/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,No,No,Yes,No,No
Mazda,Japan,JPN,Autos,No,large,JP3868400007,6900308,01/12/2020,01/02/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
Mazda,Japan,JPN,Autos,No,large,JP3868400007,6900308,01/12/2019,25/03/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Mitsubishi,Japan,JPN,Coal Mining,No,large,JP3898400001,6596785,01/10/2020,16/03/2020,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Mitsubishi Chemical,Japan,JPN,Chemicals,No,large,JP3897700005,B0JQTJ0,01/02/2021,28/02/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Mitsubishi Motors,Japan,JPN,Autos,No,large,JP3899800001,6598446,01/12/2020,23/12/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No
Mitsubishi Motors,Japan,JPN,Autos,No,large,JP3899800001,6598446,01/12/2019,25/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No
Mitsui & Co (Aluminium),Japan,JPN,Aluminium,No,large,JP3893600001,6597302,01/02/2021,26/11/2019,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No
Mitsui & Co (Aluminium),Japan,JPN,Aluminium,No,large,JP3893600001,6597302,01/02/2020,31/03/2019,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Not applicable,No,No,No,No,No,No
Mitsui & Co (Coal Mining),Japan,JPN,Coal Mining,No,large,JP3893600001,6597302,01/10/2020,26/11/2019,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
Mondi,United Kingdom,GBR,Paper,No,medium,GB00B1CRLC47,"B1CRLC4, B1YCDP4",01/02/2021,08/11/2019,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Mondi,United Kingdom,GBR,Paper,No,medium,GB00B1CRLC47,"B1CRLC4, B1YCDP4",01/02/2020,17/03/2019,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes
Muda,Malaysia,MYS,Paper,No,small,MYL3883OO005,6609230,01/02/2021,22/01/2020,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Muda,Malaysia,MYS,Paper,No,small,MYL3883OO005,6609230,01/02/2020,20/04/2019,0,new,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
NRG Energy,United States of America,USA,Electricity Utilities,Yes,medium,US6293775085,2212922,01/10/2020,25/07/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
NRG Energy,United States of America,USA,Electricity Utilities,Yes,medium,US6293775085,2212922,01/09/2019,01/10/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
NS United Kaiun Kaisha,Japan,JPN,Shipping,No,small,JP3385000009,6805005,01/12/2020,21/01/2020,1,new,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Not applicable,Yes,No,No,No,No,No
NTPC,India,IND,Electricity Utilities,Yes,large,INE733E01010,B037HF1,01/10/2020,07/11/2019,2,up,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No
NTPC,India,IND,Electricity Utilities,Yes,large,INE733E01010,B037HF1,01/09/2019,21/09/2018,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
NYK Line,Japan,JPN,Shipping,No,medium,JP3753000003,6643960,01/12/2020,17/02/2020,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
NYK Line,Japan,JPN,Shipping,No,medium,JP3753000003,6643960,01/12/2019,10/04/2019,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Nakilat,Qatar,QAT,Shipping,No,medium,QA000A0KD6L1,B0MLBC9,01/12/2020,27/09/2019,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nakilat,Qatar,QAT,Shipping,No,medium,QA000A0KD6L1,B0MLBC9,01/12/2019,02/10/2018,0,new,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nan Ya Plastics,Taiwan,TWN,Chemicals,No,large,TW0001303006,6621580,01/02/2021,07/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Nan Ya Plastics,Taiwan,TWN,Chemicals,No,large,TW0001303006,6621580,01/02/2020,14/02/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,No,Yes,No,No
National Grid,United Kingdom,GBR,Electricity Utilities,Yes,large,GB00BDR05C01,BDR05C0,01/10/2020,18/02/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
National Grid,United Kingdom,GBR,Electricity Utilities,Yes,large,GB00BDR05C01,BDR05C0,01/09/2019,04/06/2018,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Naturgy Energy,Spain,ESP,Oil & Gas Distribution,Yes,large,ES0116870314,5650422,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Naturgy Energy,Spain,ESP,Oil & Gas Distribution,Yes,large,ES0116870314,5650422,01/09/2019,03/05/2019,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Neste,Finland,FIN,Oil & Gas,No,large,FI0009013296,B06YV46,01/10/2020,26/07/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Neste,Finland,FIN,Oil & Gas,No,large,FI0009013296,B06YV46,01/09/2019,05/09/2018,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Nestle,Switzerland,CHE,Consumer Goods,Yes,large,CH0038863350,7123870,01/10/2020,31/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Nestle,Switzerland,CHE,Consumer Goods,Yes,large,CH0038863350,7123870,01/09/2019,31/10/2018,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
New Hope,Australia,AUS,Coal Mining,No,small,AU000000NHC7,6681960,01/10/2020,30/01/2020,1,new,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
NextEra Energy,United States of America,USA,Electricity Utilities,Yes,large,US65339F1012,2328915,01/10/2020,24/02/2020,2,unchanged,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Not applicable,Yes,No,No,No,No,No
NextEra Energy,United States of America,USA,Electricity Utilities,Yes,large,US65339F1012,2328915,01/09/2019,15/02/2019,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Nine Dragons Paper Industries,China,CHN,Paper,No,large,BMG653181005,B0WC2B8,01/02/2021,16/12/2019,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nine Dragons Paper Industries,China,CHN,Paper,No,large,BMG653181005,B0WC2B8,01/02/2020,07/04/2019,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nippon Coke & Engineering,Japan,JPN,Coal Mining,No,small,JP3889610006,6740344,01/10/2020,02/12/2019,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Nippon Light Metal,Japan,JPN,Aluminium,No,small,JP3700200003,B51WP26,01/02/2021,23/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Nippon Light Metal,Japan,JPN,Aluminium,No,small,JP3700200003,B51WP26,01/02/2020,21/04/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,No,Yes,No,No
Nippon Paint,Japan,JPN,Chemicals,No,large,JP3749400002,6640507,01/02/2021,10/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Not applicable,No,No,No,No,No,No
Nippon Paper Industries,Japan,JPN,Paper,No,medium,JP3721600009,B8B8PJ2,01/02/2021,10/01/2020,2,unchanged,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nippon Paper Industries,Japan,JPN,Paper,No,medium,JP3721600009,B8B8PJ2,01/02/2020,25/03/2019,2,down,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Not applicable,No,No,No,No,No,No
Nippon Steel,Japan,JPN,Steel,Yes,large,JP3381000003,6642569,01/10/2020,16/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,No,Yes,No,No
Nippon Steel,Japan,JPN,Steel,Yes,large,JP3381000003,6642569,01/09/2019,26/06/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,No,No,No,No
Nissan,Japan,JPN,Autos,Yes,large,JP3672400003,6642860,01/10/2020,18/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Nissan,Japan,JPN,Autos,Yes,large,JP3672400003,6642860,01/09/2019,28/06/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Nisshin Steel,Japan,JPN,Steel,No,medium,JP3676200003,B89C2N9,01/02/2020,16/04/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nitto Denko,Japan,JPN,Chemicals,No,large,JP3684000007,6641801,01/02/2021,26/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,Yes,No,No,Yes,No
Noble Energy,United States of America,USA,Oil & Gas,No,medium,US6550441058,2640761,01/10/2020,23/03/2020,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Noble Energy,United States of America,USA,Oil & Gas,No,medium,US6550441058,2640761,01/09/2019,19/02/2019,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No
Nornickel,Russia,RUS,Diversified Mining,Yes,large,"RU0007288411, US55315J1025, US46626D1081","B5B1TX2, BYSW6D0, 2768243",01/10/2020,31/03/2020,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No
Nornickel,Russia,RUS,Diversified Mining,Yes,large,"RU0007288411, US55315J1025, US46626D1081","B5B1TX2, BYSW6D0, 2768243",01/09/2019,29/03/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Norsk Hydro,Norway,NOR,Aluminium,No,medium,NO0005052605,B11HK39,01/02/2021,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Norsk Hydro,Norway,NOR,Aluminium,No,medium,NO0005052605,B11HK39,01/02/2020,23/04/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No
NovaTek,Russia,RUS,Oil & Gas,No,large,"RU000A0DKVS5, US6698881090","B59HPK1, B0DK750",01/10/2020,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
NovaTek,Russia,RUS,Oil & Gas,No,large,"RU000A0DKVS5, US6698881090","B59HPK1, B0DK750",01/09/2019,01/04/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No
Novolipetsk Steel,Russia,RUS,Steel,No,large,"RU0009046452, US67011E2046","B59FPC7, B0RTNX3",01/02/2021,31/03/2020,1,unchanged,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Novolipetsk Steel,Russia,RUS,Steel,No,large,"RU0009046452, US67011E2046","B59FPC7, B0RTNX3",01/02/2020,27/04/2019,1,up,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nucor,United States of America,USA,Steel,No,medium,US6703461052,2651086,01/02/2021,28/08/2019,1,unchanged,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nucor,United States of America,USA,Steel,No,medium,US6703461052,2651086,01/02/2020,27/09/2018,1,down,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Nutrien,Canada,CAN,Chemicals,No,large,CA67077M1086,BDRJLN0,01/02/2021,27/03/2020,2,up,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,No,No,No,No,Yes,No
Nutrien,Canada,CAN,Chemicals,No,large,CA67077M1086,BDRJLN0,01/02/2020,23/04/2019,1,new,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Not applicable,No,No,No,No,No,No
OMV,Austria,AUT,Oil & Gas,Yes,large,AT0000743059,4651459,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
OMV,Austria,AUT,Oil & Gas,Yes,large,AT0000743059,4651459,01/09/2019,29/03/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Occidental Petroleum,United States of America,USA,Oil & Gas,Yes,large,US6745991058,2655408,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Occidental Petroleum,United States of America,USA,Oil & Gas,Yes,large,US6745991058,2655408,01/09/2019,31/10/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Oil & Natural Gas,India,IND,Oil & Gas,Yes,large,INE213A01029,6139362,01/10/2020,16/09/2019,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Oil & Natural Gas,India,IND,Oil & Gas,Yes,large,INE213A01029,6139362,01/09/2019,11/02/2019,1,down,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Oil Search,Australia,AUS,Oil & Gas,Yes,large,PG0008579883,6657604,01/10/2020,28/08/2019,2,new,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
Oji,Japan,JPN,Paper,No,medium,JP3174410005,6657701,01/02/2021,20/03/2020,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,Yes,No
Oji,Japan,JPN,Paper,No,medium,JP3174410005,6657701,01/02/2020,28/03/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,No,No,Yes,Yes,Yes,No
Origin Energy (Electricity Utility),Australia,AUS,Electricity Utilities,Yes,large,AU000000ORG5,6214861,01/10/2020,31/12/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,No,Yes,Yes,No
Origin Energy (Electricity Utility),Australia,AUS,Electricity Utilities,Yes,large,AU000000ORG5,6214861,01/09/2019,14/09/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No
Orsted,Denmark,DNK,Electricity Utilities,No,large,DK0060094928,BYT16L4,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Orsted,Denmark,DNK,Electricity Utilities,No,large,DK0060094928,BYT16L4,01/09/2019,31/01/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,No,No
Ovintiv,Canada,CAN,Oil & Gas,No,medium,US69047Q1022,"BL3GRC2, BJ01KB6",01/10/2020,25/03/2020,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Ovintiv,Canada,CAN,Oil & Gas,No,medium,US69047Q1022,"BL3GRC2, BJ01KB6",01/09/2019,28/02/2019,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
PACCAR,United States of America,USA,Other Industrials,Yes,large,US6937181088,2665861,01/10/2020,22/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
PACCAR,United States of America,USA,Other Industrials,Yes,large,US6937181088,2665861,01/09/2019,21/02/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
PG&E,United States of America,USA,Electricity Utilities,No,medium,US69331C1080,2689560,01/10/2020,31/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,No,No
PG&E,United States of America,USA,Electricity Utilities,No,medium,US69331C1080,2689560,01/09/2019,28/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,No,No
PGE,Poland,POL,Electricity Utilities,Yes,medium,PLPGER000010,B544PW9,01/10/2020,31/03/2020,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Not applicable,Yes,No,No,No,No,No
PGE,Poland,POL,Electricity Utilities,Yes,medium,PLPGER000010,B544PW9,01/09/2019,31/03/2019,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
PPG Industries,United States of America,USA,Chemicals,No,large,US6935061076,2698470,01/02/2021,02/08/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Not applicable,Yes,No,No,No,No,No
PPG Industries,United States of America,USA,Chemicals,No,large,US6935061076,2698470,01/02/2020,24/10/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Not applicable,Yes,Yes,No,No,No,No
PPL,United States of America,USA,Electricity Utilities,Yes,large,US69351T1060,2680905,01/10/2020,01/09/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
PPL,United States of America,USA,Electricity Utilities,Yes,large,US69351T1060,2680905,01/09/2019,24/08/2018,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
PTT,Thailand,THA,Oil & Gas,Yes,large,"TH0646010Z00, TH0646010R18","BD0BDH1, 6420408",01/10/2020,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
PTT,Thailand,THA,Oil & Gas,Yes,large,"TH0646010Z00, TH0646010R18","BD0BDH1, 6420408",01/09/2019,07/06/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
Panasonic,Japan,JPN,Consumer Goods,Yes,large,JP3866800000,6572707,01/10/2020,02/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
Panasonic,Japan,JPN,Consumer Goods,Yes,large,JP3866800000,6572707,01/09/2019,29/06/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,No,No
Pepsico,United States of America,USA,Consumer Goods,Yes,large,US7134481081,2681511,01/10/2020,31/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,No,No,No,No
Pepsico,United States of America,USA,Consumer Goods,Yes,large,US7134481081,2681511,01/09/2019,15/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
Petrobras,Brazil,BRA,Oil & Gas,Yes,large,"BRPETRACNPR6, BRPETRACNOR9, US71654V4086, US71654V1017","2684532, 2682365, 2616580, 2683410",01/10/2020,17/10/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Petrobras,Brazil,BRA,Oil & Gas,Yes,large,"BRPETRACNPR6, BRPETRACNOR9, US71654V4086, US71654V1017","2684532, 2682365, 2616580, 2683410",01/09/2019,07/06/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
Petrochina,China,CHN,Oil & Gas,Yes,large,"CNE1000003W8, CNE1000007Q1, US71646E1001","6226576, B28SLD9, 2568841, BP3R206",01/10/2020,22/10/2019,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
Petrochina,China,CHN,Oil & Gas,Yes,large,"CNE1000003W8, CNE1000007Q1, US71646E1001","6226576, B28SLD9, 2568841, BP3R206",01/09/2019,07/06/2019,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Philips,Netherlands,NLD,Other Industrials,Yes,large,NL0000009538,5986622,01/10/2020,02/03/2020,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes
Philips,Netherlands,NLD,Other Industrials,Yes,large,NL0000009538,5986622,01/09/2019,27/02/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
Phillips 66,United States of America,USA,Oil & Gas,Yes,large,US7185461040,B78C4Y8,01/10/2020,31/03/2020,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Phillips 66,United States of America,USA,Oil & Gas,Yes,large,US7185461040,B78C4Y8,01/09/2019,22/02/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Pinnacle West Capital,United States of America,USA,Electricity Utilities,No,medium,US7234841010,2048804,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Pinnacle West Capital,United States of America,USA,Electricity Utilities,No,medium,US7234841010,2048804,01/09/2019,22/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
